City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yellowknife,62.456,-114.3525,11.34,93,20,3.6,CA,1726298329
83,katsuren-haebaru,26.3369,127.8719,31.01,87,100,5.14,JP,1726298330
84,puerto natales,-51.7236,-72.4875,0.3,89,100,2.58,CL,1726298331
85,hermanus,-34.4187,19.2345,15.45,78,0,3.18,ZA,1726298332
86,minas de marcona,-15.2119,-75.1103,9.27,92,94,6.25,PE,1726298333
87,novovarshavka,54.1721,74.6946,18.42,61,47,4.95,RU,1726298334
88,wailua homesteads,22.0669,-159.378,25.44,80,40,8.23,US,1726298335
89,constantia,44.1833,28.65,24.38,64,3,8.31,RO,1726298336
90,isafjordur,66.0755,-23.124,2.54,55,9,1.6,IS,1726298337
91,bolama,11.5833,-15.4667,25.52,88,99,4.27,GW,1726298339
92,lebu,-37.6167,-73.65,6.81,93,12,5.08,CL,1726298340
93,olonkinbyen,70.9221,-8.7187,1.3,72,44,9.81,SJ,1726298341
94,tazovsky,67.4667,78.7,6.76,57,13,5.98,RU,1726298342
95,murzuq,25.9155,13.9184,34.05,20,24,2.6,LY,1726298343
96,bengkulu,-3.8004,102.2655,28.14,73,96,4.43,ID,1726298344
97,fort bragg,35.139,-79.006,23.23,92,100,5.14,US,1726298345
98,atafu village,-8.5421,-172.5159,28.27,79,32,7.18,TK,1726298346
99,turpan,42.9333,89.1667,32.0,20,0,1.89,CN,1726298347
100,copiapo,-27.3667,-70.3333,12.06,67,0,0.3,CL,1726298349
101,new plymouth,-39.0667,174.0833,11.56,100,100,2.63,NZ,1726298279
102,bakanas,44.8081,76.2772,17.66,34,0,6.55,KZ,1726298351
103,vorgashor,67.5833,63.95,17.74,72,10,1.75,RU,1726298352
104,fort st. john,56.2499,-120.8529,12.94,67,75,4.12,CA,1726298353
105,ancud,-41.8697,-73.8203,4.71,93,93,2.0,CL,1726298354
106,keflavik,64.0049,-22.5624,4.24,81,0,5.14,IS,1726298355
107,castro,-24.7911,-50.0119,16.97,48,48,2.81,BR,1726298357
108,tangalle,6.024,80.7911,31.72,60,69,7.79,LK,1726298358
109,grand baie,-20.0182,57.5802,24.13,70,83,4.02,MU,1726298334
110,colonia,50.9333,6.95,10.03,89,0,0.51,DE,1726298360
111,dunedin,-45.8742,170.5036,7.67,94,67,1.79,NZ,1726298361
112,butajira,8.1167,38.3667,16.7,81,100,2.27,ET,1726298362
113,revda,56.801,59.9303,18.91,64,100,1.54,RU,1726298363
114,santa terezinha,-29.9002,-50.0904,18.42,93,98,4.88,BR,1726298364
115,nhamunda,-2.1861,-56.7131,25.2,68,63,1.03,BR,1726298365
116,kailua-kona,19.6406,-155.9956,24.2,96,55,1.72,US,1726298367
117,torghay,49.6339,63.4981,20.71,42,100,6.39,KZ,1726298368
118,smithers,54.7804,-127.1743,9.18,100,100,0.0,CA,1726298369
119,flying fish cove,-10.4217,105.6791,26.82,83,75,5.14,CX,1726298371
120,campos dos goytacazes,-21.75,-41.3,19.95,83,0,3.3,BR,1726298375
121,kvissleby,62.2936,17.375,9.91,59,46,3.18,SE,1726298376
122,nova sintra,14.8667,-24.7167,25.69,76,35,6.46,CV,1726298377
123,adh dhibiyah,24.5014,45.9686,36.7,14,88,4.84,SA,1726298378
